longitude,latitude,code,name,type,phone,dates_open,comments,num_sites,elevation,amenities,state,nearest_town_distance,nearest_town_bearing,city,location
-92.875,42.953,ACKL,Ackley Creek County Park,CP,641.756.3490,,,40,,E DP DW SH L$,IA,1,SW,Marble Rock,POINT(-92.875 42.953)
-93.724,41.738,ACOR,Acorn Valley - Saylorville Lake,COE,515.276.0429,early jun-late aug,,70,,E DP DW SH RS PA,IA,11.2,NW,Des Moines,POINT(-93.724 41.738)
-94.643,41.498,ADAI,Adair City Park,CP,641.742.3751,,,12,,E SH,IA,0.2,S,Adair,POINT(-94.643 41.498)
-92.21,43.12,ADOL,Adolph Munson Park,CP,,,,,,NH PT,IA,6.8,NE,New Hampton,POINT(-92.21 43.12)
-92.348,43.09,AIRP,Airport Lake Park,CP,,,primitive - tent,50,,E PT,IA,2.6,NW,New Hampton,POINT(-92.348 43.09)
-96.556,42.832,AKRO,Akron City Park,CP,,,,,,E DW SH L$,IA,0.3,NE,Akron,POINT(-96.556 42.832)
-94.926,41.711,ALBE,Albert the Bull CG,CP,712.563.3856,,,40,,E DP DW SH,IA,0.6,SE,Audubon,POINT(-94.926 41.711)
-92.313,42.88,ALCO,Alcock Park,CP,319.882.4742,early may-late oct,,40,,E DP DW SH L$,IA,0.2,W,Frederika,POINT(-92.313 42.88)
-96.005,42.998,ALTO,Alton Roadside Park,CP,,,,,,E DP DW SH L$,IA,0.8,N,Alton,POINT(-96.005 42.998)
-94.247,43.052,AMBR,Ambrose Call State Park,SP,515.295.3669,early may-late sep,,15,,NH RS,IA,1.4,SW,Algona,POINT(-94.247 43.052)
-93.609,42.026,AMES,Ames Bandshell City Park,CP,,,,,,NH ND NS N$,IA,0.8,E,Ames,POINT(-93.609 42.026)
-95.131,43.366,ARNO,Arnolds Park City Park,CP,712.332.2341,,,,,,IA,0.6,SW,Arnolds Park,POINT(-95.131 43.366)
-95.59,41.432,ARRO,Arrowhead Park,CP,712.485.2295,,,60,,E DP DW SH L$,IA,1.8,SE,Neola,POINT(-95.59 41.432)
-93.289,41.814,ASHT,Ashton Wildwood Park,CP,,,dense woods-observatory,,,NH ND,IA,7.1,W,Baxter,POINT(-93.289 41.814)
-91.968,40.768,AUST,Austin County Park,CP,,,primitive,,,NH NW,IA,2.6,N,Keosauqua,POINT(-91.968 40.768)
-91.56,42.616,BACK,Backbone State Park,SP,563.924.2527,all year,,125,,WES DP SH RS,IA,2.6,N,Dundee,POINT(-91.56 42.616)
-91.411,42.447,BAIL,Baileys Ford,CP,563.927.3410,,,50,,E DP DW SH L$,IA,3.6,SE,Manchester.,POINT(-91.411 42.447)
-90.953,42.56,BANK,Bankston Park,CP,563.556.6745,,,50,,NH ND NS,IA,3.6,SE,Holy Cross,POINT(-90.953 42.56)
-92.787,42.583,BEAV,Beaver Meadows Co Park,CP,319.278.4237,,,20,,E DP FT DW SH,IA,0.4,N,Parkersburg,POINT(-92.787 42.583)
-93.236,42.768,BEED,Beeds Lake State Park,SP,641.456.2047,all year,,144,,WES DP DW SH RS,IA,2.2,NW,Hampton,POINT(-93.236 42.768)
-90.423,42.247,BELV,Bellevue State Park,SP,563.872.4019,all year,,50,,E DP SH RS,IA,0.8,S,Bellevue,POINT(-90.423 42.247)
-93.889,42.34,BELM,Bells Mills County Park,CP,515.832.9570,,,60,,E DP DW SH L$,IA,5.1,N,Stratford,POINT(-93.889 42.34)
-92.151,41.386,BELD,Belva - Deer Rec Area,CP,641.622.3757,,,56,,E DP DW SH,IA,4.6,NE,Sigourney,POINT(-92.151 41.386)
-90.922,41.746,BENN,Bennett Park,CP,563.886.6930,,,13,,E FT DW SH,IA,2.7,E,Bennett,POINT(-90.922 41.746)
-91.918,42.162,BENT,Benton City  -  Fry Area,CP,319.472.3318,,,25,,E,IA,5.2,E,Vinton,POINT(-91.918 42.162)
-91.852,40.725,BENS,Bentonsport,CP,319.293.3589,,,,,E,IA,0.1,E,Bentonsport,POINT(-91.852 40.725)
-93.386,42.526,BESS,Bessman-Kemp Co Park,CP,,,,,,NH ND NS,IA,0.6,NW,Alden,POINT(-93.386 42.526)
-91.226,40.952,BIGH,Big Hollow Creek Park,CP,319.753.8260,,,48,,WE DP FT DW SH,IA,,,Pleasant Grove,POINT(-91.226 40.952)
-92.434,42.556,BIGW,Big Woods Lake,CP,319.266.6813,,,,,NH,IA,1.5,N,Cedar Falls,POINT(-92.434 42.556)
