Longitude,Latitude,Name,Phone,State,City
-114.353,53.675,Alberta Beach Family RV Park ,780.924.2333,AB ,Alberta Beach 
-112.332,53.88,Andrew RV Park,780.365.3687,AB ,Andrew 
-113.962,52.034,Anthony Henday ,403.318.3508,AB ,Innisfail 
-110.59,52.75,Arm Lake Rec Area,780.842.4727,AB ,Wainwright 
-117.164,58.49,Aspen Ridge ,780.926.4540,AB ,High Level 
-116.073,52.396,Aylmer Provincial Rec Area,403.845.8349,AB ,
-113.532,54.733,Baptiste Lake, ,AB ,Athabasca 
-112.463,50.787,Bassano Homecoming Trailer Park,403.641.3788,AB ,Bassano 
-110.027,49.652,Battle Creek - Cypress Hills Interprov. Park,403.893.3833,AB ,Elkwater
-114.167,52.966,Battle Lake Park ,780.586.0722,AB ,Wetaskiwin 
-116.158,53.74,Bear Lake ,780.693.2479,AB ,Edson 
-114.1,49.413,Beauvais Lake Provincial Park,403.382.4097,AB ,Pincher Creek
-110.294,49.658,Beaver Creek - Cypress Hills Interprov. Park,403.893.3833,AB ,Elkwater
-114.797,50.857,Beaver Flats - Elbow Falls Provincial Rec Area,403.949.4261,AB ,Bragg Creek
-111.881,54.758,Beaver Lake Provincial Rec Area,780.623.9222,AB ,Lac La Biche
-114.298,49.367,Beaver Mines Lake Rec Area,403.563.5395,AB ,
-116.01,52.489,Beaverdam Provincial Rec Area,403.845.8349,AB ,
-119.434,55.214,Beaverlodge Pioneer ,780.354.2201,AB ,Beaverlodge 
-113.529,51.387,Beiseker Municipal ,403 888.9730,AB ,Beiseker 
-112.152,54.105,Bellis Beach Lake ,780.656.3037,AB ,Smoky Lake County 
-113.685,49.025,Belly River - Waterton Lakes National Park, ,AB ,Waterton Park
-115.581,53.733,Beta Lake ,780.723.4800,AB ,Nojack 
-118.365,53.756,Big Berland Provincial Rec Area,780.827.1382,AB ,
-112.22,52.489,Big Knife Provincial Park,403.742.7512,AB ,Forestburg
-112.533,53.215,Black Nugget Lake ,780.663.2421,AB ,Tofield 
-116.327,52.614,Blackstone Provincial Rec Area,403.845.8349,AB ,
-112.887,51.566,Bleriot Ferry Provincial Rec Area,403.823.1749,AB ,Carbon
-111.199,51.271,Blood Indian Park,403.779.2155,AB ,Youngstown 
-114.723,50.612,Bluerock - Sheep River Provincial Park,403.949.4261,AB ,Millarville
-115.1,50.634,Boulton Creek - Peter Lougheed Provincial Park,403.591.6322,AB ,
-112.227,50.433,Bow City Park,403.362.6693,AB ,Brooks 
-111.379,49.862,Bow Island Centennial Park,403.545.2522,AB ,Bow Island 
-115.104,51.081,Bow River - Bow Valley Provincial Park,403.673.3985,AB ,Kananaskis
-115.081,51.08,Bow Valley - Bow Valley Provincial Park,403.673.3985,AB ,Kananaskis
-113.237,51.667,Braconniers Dam ,403.443.5541,AB ,Three Hills 
-116.556,52.879,Brazeau River Provincial Rec Area,780.865.2154,AB ,
