Longitude,Latitude,Name,Phone,State,City
-73.098,41.651,Black Rock State Park,860.283.8088,CT,Thomaston
-72.342,41.484,Devils Hopyard State Park,860.526.2336,CT,East Haddam
-71.811,41.534,Green Falls - Pachaug State Forest,860.376.4075,CT,
-72.556,41.265,Hammonasset State Park,203.245.1817,CT,Madison
-73.004,41.935,Haws Memorial - American Legion State Forest,860. 379.0922,CT,Barkhamsted
-71.926,41.602,Hopeville Pond State Park,860.376.2920,CT,Griswold
-73.377,41.823,Housatonic Meadows State Park,860.672.6772,CT,Sharon
-73.205,41.421,Kettletown State Park,203.264.5169,CT,Southbury
-73.384,41.709,Lake Waramaug State Park,860.868.0220,CT,Kent
-73.494,41.777,Macedonia Brook State Park,860.927.3238,CT,Kent
-71.985,41.859,Mashamoquet Brook State Park,860.928.6121,CT,Pomfret Center
-71.869,41.593,Mount Misery - Pachaug State Forest,860.376.4075,CT,Voluntown
-73.224,41.71,Point Folly - White Memorial,860.567.0089,CT,Bantam
-72.243,41.31,Rocky Neck State Park,860.739.5471,CT,Niantic
-72.093,41.651,Salt Rock State Park,860.822.0884,CT,Baltic
-71.894,41.954,West Thompson Lake,860.923.3121,CT,
-73.216,41.727,Windmill Hill - White Memorial,860.567.0089,CT,Litchfield
-71.971,41.852,Wolf Den - Mashamoquet Brook State Park,860.928.6121,CT,Pomfret Center
-75.117,38.78,Cape Henlopen State Park,302.645.8983,DE,Lewes
-75.066,38.606,Delaware Seashore State Park,302.539.7202,DE,Rehoboth Beach
-75.457,39.114,Dover AFB Military,302.677.3959,DE,Dover
-75.534,38.979,Killens Pond State Park,302.284.3412,DE,Felton
-75.718,39.548,Lums Pond State Park,302.368.6989,DE,Kirkwood
-75.6,38.645,Soroptimist Park, ,DE,Seaford
-75.476,38.53,Trap Pond State Park,302.875.2392,DE,Laurel
-72.533,42.608,Barton Cove,413.863.9300,MA,Gill
-73.292,42.205,Beartown State Forest,413.528.0904,MA,Monterey
-70.593,41.751,Bourne Scenic City Park,508.759.7873,MA,Bourne
-72.934,42.254,Chester - Blanford State Forest,413. 354.6347,MA,Chester
-73.076,42.734,Clarksburg State Park,413.664.8345,MA,Clarksburg
-72.791,42.456,DAR State Forest,413.268.7098,MA,Ashfield
-72.408,42.607,Erving State Forest,978.544.3939,MA,Erving
-70.706,42.161,Fourth Cliff Military,781.837.6785,MA,Marshfield
-72.969,42.053,Granville State Forest,413.357.6611,MA,Granville
