Longitude,Latitude,Name,Phone,State,City
-85.214,32.977,Amity,334.499.2404,AL,Lanett
-85.963,33.621,Anniston Army Depot RV Military,941.962.7417,AL,Anniston
-87.924,34.427,Bear Creek Lakes,256.332.4392,AL,Russellville
-87.966,34.448,Bear Creek Lakes,256.332.4392,AL,Hodges
-87.422,31.806,Bells Landing,334.682.4244,AL,Camden
-87.877,32.552,Belmont Park,334.289.3540,AL,Belmont
-85.56,33.72,Big Oak Gap Hunter Camp,256.463.2272/334.832.4470,AL,Heflin
-88.196,31.738,Bladon Springs State Park,251.754.9207,AL,Bladon Springs
-87.902,30.714,Blakeley State Park,251.626.5581,AL,Spanish Fort
-87.38,33.437,Blue Creek,205)553.9373,AL,Windham Spring
-85.507,31.661,Blue Springs State Park,334.397.4875,AL,Clio
-85.014,32.186,Bluff Creek,334.000.0000,AL,Pittsview
-86.948,33.04,Brierfield Ironworks Historical Park,205.665.1856,AL,Montevallo
-87.272,34.298,Brushy Lake,205.489.5111/334.832.4470,AL,Moulton
-86.051,34.472,Bucks Pocket State Park,256.659.2000,AL,Grove Oak
-87.349,33.45,Burchfield Branch Park,205.497.9828,AL,Adger
-85.218,32.957,Burnt Village, ,AL,Lanett
-86.23,34.572,Cathedral Caverns State Park,256.728.8193,AL,Woodville
-85.031,31.003,Chattahoochee Park, ,AL,Gordon
-85.808,33.477,Cheaha State Park,800.610.5801,AL,Delta
-85.48,32.554,Chewacla State Park,334.887.5621,AL,Auburn
-88.108,30.779,Chickasabogue Park, ,AL,Mobile
-87.78,32.363,Chickasaw State Park,334.295.8230,AL,Gallion
-87.274,32.141,Chilatchee Creek,334.573.2562,AL,Alberta
-88.319,31.064,Citronelle Lakeview RV Park,251.866.9647,AL,Citronelle
-87.26,34.02,Clear Creek,205.489.5111/334.832.4470,AL,Jasper
-88.27,33.084,Cochrane,205.373.8806,AL,Aliceville
-88.085,34.854,Colbert County Rose Trail Park,256.360.2764,AL,Cherokee
-85.558,33.785,Coleman Lake Rec Area,256.463.2272/334.832.4470,AL,Jacksonville
-87.32,34.1,Corinth,205.489.5111/334.832.4470,AL,Double Springs
-87.556,31.615,Damsite West Bank,334.682.4244,AL,Gosport
-88.079,30.25,Dauphin Island City Park,251.861.2742,AL,Dauphin Island
-85.618,34.501,De Soto State Park,256.845.5075,AL,Fort Payne
-87.435,33.257,Deerlick,205.759.1591,AL,Tuscaloosa
-85.807,34.577,Dekalb County Public Lake,256.657.1300,AL,Sylvania
-86.558,34.575,Ditto Landing City Campground,256.883.9420,AL,Huntsville
-87.389,32.116,East Bank/Millers Ferry,334.682.4191,AL,Camden
-86.684,34.588,Easter Posey MWR Military - Redstone Arsenal,256.876.4868,AL,Valhermoso Springs
-87.966,34.448,Elliot Branch - Bear Creek  Auth,256.332.4392,AL,Hodges
-87.115,32.164,Elm Bluff - William Dannelly Reservoir,334.682.4244,AL,Camden
-85.716,31.409,Engineer Beach RV Military - Fort Rucker,334.255.4234,AL,Ozark
-86.318,30.998,Florala State Park,334.858.6425,AL,Florala
-87.879,32.634,Forkland/McConnico Creek,334.289.5530,AL,Demopolis
-86.252,32.508,Fort Toulouse/Jackson Park,334.567.3002,AL,Montgomery
-87.867,32.515,Foscue,334.289.5535,AL,Demopolis
-86.281,31.346,Frank Jackson State Park,334.493.6988,AL,Opp
-86.083,34.586,Goose Pond Colony,256.259.2884,AL,Scottsboro
-87.65,30.268,Gulf State Park,251.948.6353,AL,Gulf Shores
-86.482,32.36,Gunter Hill,334.872.9554,AL,Montgomery
-87.469,31.725,Haines Island,334.682.4244,AL,Camden
-85.113,31.644,Hardridge Creek,334.585.5945,AL,Ft Gaines GA
-87.43,33.254,Holt Lake,205.553.9373,AL,Cottondale
-86.853,33.338,Hoover RV Park,205.739.7400,AL,Hoover
-87.966,34.382,Horseshoe Bend - Bear Creek Lakes,256.332.4392,AL,Hodges
-87.297,34.119,Houston,205.489.5111/334.832.4470,AL,Houston
-85.373,31.192,Houston County Center,334.792.5730,AL,Dothan
-87.55,31.622,Isaac Creek,251.282.4254,AL,Camden
-86.017,34.639,Jackson County Park,256.574.4719,AL,Scottsboro
-87.807,32.81,Jennings Ferry,205.372.1217,AL,Akron
-87.38,34.793,Joe Wheeler State Park,256.247.5466,AL,Rogersville
-86.785,32.399,Jones Bluff, ,AL,
-85.874,33.461,Lake Chinnabee,256.362.2909/334.832.4470,AL,Oxford
-86.203,34.401,Lake Guntersville State Park,256.571.5444,AL,Guntersville
-87.677,33.296,Lake Lurleen State Park,205.339.1558,AL,Coker
-85.824,32.778,Lake Martin Military,256.825.6251,AL,Dadeville
-85.114,31.988,LakePoint State Park,334.687.8011,AL,Eufaula
-88.317,31.07,Lakeview RV City Park,334.866.9647,AL,Citronelle; Fr
-88.16,31.856,Lenoir Landing - Coffeeville Lake,251.754.9338,AL,Toxey
-87.744,32.587,Lock 5,334.289.3540,AL,Cedarville
-87.837,32.785,Lock 7, ,AL,Eutaw
-87.783,32.893,Lock 8, ,AL,Akron
-87.158,34.7,Mallard Creek,256-386-2560,AL,Decatur
-86.284,34.382,Marshall County Park, ,AL,Guntersville
-86.37,32.371,Maxwell/Gunter AFB Military,334.953.5161,AL,
-87.346,34.338,Mcdougle Hunter Camp,205.489.5111/334.832.4470,AL,Russellville
-87.681,34.784,McFarland Park,256.760.6416,AL,Florence
-87.931,30.67,Meaher State Park,251.626.5529,AL,Spanish Fort
-87.978,30.907,Mobile County Marina,251.574.2266,AL,Creola
-86.512,34.744,Monte Sano State Park,256. 534.375,AL,Huntsville
-86.022,34.042,Noccalula Falls Campground,256.543.7412,AL,Gadsden
-86.718,33.353,Oak Mountain State Park,205.620.2520,AL,Pelham
-88.032,31.574,Old Lock 1 - Coffeeville Lake,251.754.9338,AL,Coffeeville
-85.117,31.276,Omussee Creek County Rec Area, ,AL,
-86.55,31.09,Open Pond Recreation Area,334.222.2555/334.832.4470,AL,Lockhart
-86.991,32.598,Paul M Grist State Park,334.872.5846,AL,Selma
