Longitude,Latitude,Name,Phone,State,City
-110.861,32.18,Agave Gulch Military,520.747.9144,AZ,
-113.579,34.231,Alamo Lake State Park,928.669.2088,AZ,Wenden
-109.153,33.895,Alpine Divide,928.339.4384/928.333.4301,AZ,Alpine
-112.561,34.589,Alto Pit,928.443.8000/928.443.8210,AZ,Prescott
-110.366,31.56,Apache Flats Military -  Fort Huachuca,520.533.1335,AZ,Sierra Vista
-109.819,32.649,Arcadia,928.428.4150/520.388.8300,AZ,Safford
-111.409,35.018,Ashurst Lake,928.774.1147/928.527.3600,AZ,Flagstaff
-110.946,34.327,Aspen,928.537.8888/928.333.4301,AZ,Payson
-109.314,33.807,Aspen,928.339.4384/928.333.4301,AZ,
-111.204,33.714,Bachelors Cove,928.467.3201/602.225.5201,AZ,Roosevelt
-111.639,33.84,Bartlett Flat,928.474.7901/602.225.5201,AZ,Carefree
-109.307,31.781,Bathtub,520.364.3468/520.388.8300,AZ,Elfrida
-111.714,34.67,Beaver Creek,928.203.7501/928.527.3600,AZ,Camp Verde
-109.449,34.044,Benny Creek,928.333.4372/928.333.4301,AZ,Eagar
-111.226,33.746,Bermuda Flat,928.467.3201/602.225.5201,AZ,Roosevelt
-110.743,34.305,Black Canyon Rim,928.537.8888/928.333.4301,AZ,Forest Lakes
-109.08,33.057,Black Jack,928.687.1301/928.333.4301,AZ,Clifton
-111.201,34.591,Blue Ridge,928.477.5001/928.527.3600,AZ,Winslow
-110.876,31.727,Bog Springs,520.281.2296/520.388.8300,AZ,Green Valley
-109.355,32.011,Bonita Canyon - Chiricahua National Monument,520.824.3560,AZ,Willcox
-109.576,33.065,Bonito,928.526.8231/928.527.3600,AZ,
-111.556,35.372,Bonito - Sunset Crater National Monument,520.526.0866,AZ,Flagstaff
-111.75,34.969,Bootlegger,928.203.7501/928.527.3600,AZ,Sedona
-109.918,34.071,Bootlegger, ,AZ,
-114.02,33.928,Bouse Community Park,928.667.2069,AZ,Bouse
-111.66,33.74,Box Bar,480.595.3301/602.225.5201,AZ,Scottsdale
-109.413,33.876,Brookchar,928.333.4372/928.333.4301,AZ,Eagar
-112.642,33.277,Buckeye Hills Co Park,623.932.3811,AZ,Buckeye
-114.161,34.254,Buckskin State Park,928.667.3231,AZ,Parker
-109.355,33.768,Buffalo Crossing,928.339.4384/928.333.4301,AZ,Alpine
-111.203,33.626,Burnt Corral,928.467.3201/602.225.5201,AZ,Roosevelt
-113.45,34.538,Burro Creek,928.718.3700,AZ,Wikieup
-109.37,31.758,Camp Rucker, ,AZ,Douglas
-110.823,34.32,Canyon Point,928.537.8888/928.333.4301,AZ,
-111.599,35.125,Canyon Vista,928.774.1147/928.527.3600,AZ,Flagstaff
-110.938,32.416,Catalina State Park,520.628.5798,AZ,Tucson
-114.171,34.354,Cattail Cove State Park,928.855.1223,AZ,Lake Havasu City
-112.015,33.824,Cave Creek Rec Area,623.465.0431,AZ,Cave Creek
-111.74,34.996,Cave Springs,928.203.7501/928.527.3600,AZ,
-111.865,33.971,CCC,480.595.3301/602.225.5201,AZ,Carefree
-113.561,33.789,Centennial Park,928.859.4342,AZ,Wenden
-110.841,34.509,Chevelon Canyon Lake,928.537.8888/928.333.4301,AZ,Heber
-110.788,34.591,Chevelon Crossing,928.537.8888/928.333.4301,AZ,Heber
-111.702,34.353,Childs,928.203.7501/928.527.3600,AZ,
-111.203,33.732,Cholla,928.467.3201/602.225.5201,AZ,Roosevelt
-111.205,33.719,Cholla Bay,928.467.3201/602.225.5201,AZ,Roosevelt
-111.035,34.308,Christopher Creek,928.474.7901/602.225.5201,AZ,Payson
-111.765,34.515,Clear Creek,928.203.7501/928.527.3600,AZ,Camp Verde
-111.315,34.555,Clints Well,928.477.5001/928.527.3600,AZ,Happy Jack
-109.06,33.103,Coal Creek,928.687.1301/928.333.4301,AZ,Clifton
-109.967,31.922,Cochise Stronghold,520.364.3468/520.388.8300,AZ,Sunsites
-112.711,33.981,Constellation Park, ,AZ,Wickenburg
-111.646,33.547,Coon Bluff,480.610.3301/602.225.5201,AZ,Mesa
-114.9,33.448,Coon Hollow Dispersed  LTVA - Mule Mountain, ,AZ,Quartzite
-109.539,36.148,Cottonwood - Canyon de Chelly National Monument,928.674.5500,AZ,Chinle
-111.253,33.577,Crabtree Wash,928.467.3201/602.225.5201,AZ,Apache Junction
-110.942,34.318,Crook,928.537.8888/928.333.4301,AZ,Forest Lakes
-114.215,34.214,Crossroads, ,AZ,Lake Havasu Ci
-109.891,32.68,Cunningham,928.428.4150/520.388.8300,AZ,Safford
-109.418,33.872,Cutthroat,928.333.4372/928.333.4301,AZ,Eagar
-109.313,31.774,Cypress Park,520.364.3468/520.388.8300,AZ,Douglas
-111.485,34.956,Dairy Springs,928.774.1147/928.527.3600,AZ,Mormon Lake
-112.83,32.35,Darby Wells Rd Dispersed, ,AZ,Ajo
-114.563,35.183,Davis Camp - Mohave County,928.754.7250,AZ,Bullhead City
-111.222,33.594,Davis Wash,928.467.3201/602.225.5201,AZ,Apache Junction
-112.135,36.412,De Motte,928.643.8130/928.635.8200,AZ,Jacob Lake
-112.019,34.754,Dead Horse Ranch State Park,928.634.5283,AZ,Cottonwood
-109.32,33.804,Deer Creek,928.339.4384/928.333.4301,AZ,Alpine
-112.827,32.436,Dennison Campground - Ajo Regional Park,520.387.6641,AZ,Ajo
-114.445,32.863,Desert Breeze Military - Yuma PG,928.328.3989,AZ,Yuma
-111.823,36.039,Desert View - Grand Canyon National Park,928.638.7888,AZ,Grand Canyon
-109.3,33.819,Diamond Rock,928.339.4384/928.333.4301,AZ,Alpine
-112.126,35.213,Dogtown Lake,928.635.5630/928.635.8200,AZ,Williams
-111.493,34.943,Double Springs,928.774.1147/928.527.3600,AZ,Flagstaff
-109.539,33.821,Drift Fence Lake, ,AZ,Greer
-112.376,33.385,Estrella Mountain Regional Park,623.932.3811,AZ,Goodyear
-110.938,33.824,Falls,928.462.4301/602.225.5201,AZ,Young
-111.29,34.343,First Crossing,928.474.7901/602.225.5201,AZ,Payson
-111.352,34.303,Flowing Springs,928.474.7901/602.225.5201,AZ,Payson
-110.073,34.266,Fool Hollow State Rec Area,928.537.3680,AZ,Show Low
-111.398,35.023,Forked Pine,928.774.1147/928.527.3600,AZ,Flagstaff
-111.693,35.142,Fort Tuthill County Park, ,AZ,Flagstaff
-111.693,35.139,Fort Tuthill Military - Luke AFB,928.774.8893,AZ,Flagstaff
-114.453,32.724,Fortuna Pond, ,AZ,Yuma
-110.342,32.833,Fourmile Canyon, ,AZ,Klondyke
-109.487,33.929,Gabaldon, ,AZ,Eager
-110.329,31.529,Garden Canyon  Military - Fort Huachuca,520.533.7085,AZ,Sierra Vista
-110.685,32.378,General Hitchcock,520.749.8700/520.388.8300,AZ,Tucson
-110.712,34.302,Gentry,928.537.8888/928.333.4301,AZ,Payson
-112.73,32.882,Gila Bend Military,928.856.5290,AZ,Gila Bend
-110.787,33.394,Gila County RV Park, ,AZ,Globe
-111.143,32.219,Gilbert Ray,520.883.4200,AZ,Tucson
-109.382,33.187,Granville,928.687.1301/928.333.4301,AZ,Morenci
-111.045,33.641,Grapevine Bay,928.467.3201/602.225.5201,AZ,Globe
-109.413,33.873,Grayling,928.333.4372/928.333.4301,AZ,Eagar
